Provinsi,NamaKab/Kota,KodeKab/Kota,Sumber air minum,Jumlah rumah tangga
SUMATERA UTARA,PADANG LAWAS,1221,Listrik PLN,"13,351"
SUMATERA UTARA,PADANG LAWAS,1221,Listrik non-PLN,183
SUMATERA UTARA,PADANG LAWAS,1221,Tidak ada listrik,"3,271"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Listrik PLN,"7,891"
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Listrik non-PLN,595
SUMATERA UTARA,LABUHAN BATU SELATAN,1222,Tidak ada listrik,570
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Listrik PLN,"16,344"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Listrik non-PLN,"1,171"
SUMATERA UTARA,LABUHAN BATU UTARA,1223,Tidak ada listrik,"1,947"
SUMATERA UTARA,NIAS UTARA,1224,Listrik PLN,"10,533"
SUMATERA UTARA,NIAS UTARA,1224,Listrik non-PLN,368
SUMATERA UTARA,NIAS UTARA,1224,Tidak ada listrik,"12,145"
SUMATERA UTARA,NIAS BARAT,1225,Listrik PLN,"7,881"
SUMATERA UTARA,NIAS BARAT,1225,Listrik non-PLN,383
SUMATERA UTARA,NIAS BARAT,1225,Tidak ada listrik,"5,531"
SUMATERA UTARA,KOTA SIBOLGA,1271,Listrik PLN,"5,369"
SUMATERA UTARA,KOTA SIBOLGA,1271,Listrik non-PLN,1
SUMATERA UTARA,KOTA SIBOLGA,1271,Tidak ada listrik,38
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Listrik PLN,"14,056"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Listrik non-PLN,37
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Tidak ada listrik,207
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Listrik PLN,"17,568"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Listrik non-PLN,62
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Tidak ada listrik,132
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Listrik PLN,"10,671"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Listrik non-PLN,8
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Tidak ada listrik,35
SUMATERA UTARA,KOTA MEDAN,1275,Listrik PLN,"109,408"
SUMATERA UTARA,KOTA MEDAN,1275,Listrik non-PLN,470
SUMATERA UTARA,KOTA MEDAN,1275,Tidak ada listrik,271
SUMATERA UTARA,KOTA BINJAI,1276,Listrik PLN,"15,725"
SUMATERA UTARA,KOTA BINJAI,1276,Listrik non-PLN,38
SUMATERA UTARA,KOTA BINJAI,1276,Tidak ada listrik,96
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Listrik PLN,"9,978"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Listrik non-PLN,45
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Tidak ada listrik,438
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Listrik PLN,"11,460"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Listrik non-PLN,124
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Tidak ada listrik,"2,456"
SUMATERA UTARA,TOTAL,"796,933",Listrik PLN,"17,178"
SUMATERA UTARA,TOTAL,"796,933",Listrik non-PLN,"108,332"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Listrik PLN,783
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Listrik non-PLN,"1,252"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Tidak ada listrik,"6,013"
SUMATERA BARAT,PESISIR SELATAN,1302,Listrik PLN,"33,851"
SUMATERA BARAT,PESISIR SELATAN,1302,Listrik non-PLN,"1,122"
SUMATERA BARAT,PESISIR SELATAN,1302,Tidak ada listrik,"3,028"
SUMATERA BARAT,SOLOK,1303,Listrik PLN,"24,394"
SUMATERA BARAT,SOLOK,1303,Listrik non-PLN,"1,899"
SUMATERA BARAT,SOLOK,1303,Tidak ada listrik,"3,753"
SUMATERA BARAT,SIJUNJUNG,1304,Listrik PLN,"9,890"
SUMATERA BARAT,SIJUNJUNG,1304,Listrik non-PLN,287
SUMATERA BARAT,SIJUNJUNG,1304,Tidak ada listrik,"1,838"
SUMATERA BARAT,TANAH DATAR,1305,Listrik PLN,"18,114"
SUMATERA BARAT,TANAH DATAR,1305,Listrik non-PLN,251
