Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,Jumlah IndividuUsia di bawah 6 tahun,Jumlah IndividuUsia 6 - 14 tahun,Jumlah IndividuUsia 15 - 44 tahun,Jumlah IndividuUsia 45 - 59 tahun,Jumlah IndividuUsia 60 tahun ke atas
SUMATERA BARAT,KOTA PARIAMAN,1377,L,"1,088","2,737","4,278","1,661",864
RIAU,KUANTAN SINGINGI,1401,P,"3,478","6,927","15,513","5,642","4,708"
RIAU,KUANTAN SINGINGI,1401,L,"3,793","7,397","17,189","4,767","3,176"
RIAU,INDRAGIRI HULU,1402,P,"6,743","13,468","32,431","9,025","4,730"
RIAU,INDRAGIRI HULU,1402,L,"7,333","14,598","34,649","9,138","4,247"
RIAU,INDRAGIRI HILIR,1403,P,"6,915","16,836","39,096","11,393","4,251"
RIAU,INDRAGIRI HILIR,1403,L,"7,518","17,880","41,886","12,296","4,987"
RIAU,PELALAWAN,1404,P,"4,310","8,400","19,027","4,657","1,988"
RIAU,PELALAWAN,1404,L,"4,581","9,072","20,213","5,070","1,913"
RIAU,S I A K,1405,P,"4,109","9,281","20,828","5,656","2,751"
RIAU,S I A K,1405,L,"4,317","9,871","21,902","5,882","2,460"
RIAU,KAMPAR,1406,P,"11,465","23,958","55,817","14,929","7,119"
RIAU,KAMPAR,1406,L,"12,187","26,158","58,836","15,864","6,034"
RIAU,ROKAN HULU,1407,P,"5,793","11,367","25,731","7,183","4,487"
RIAU,ROKAN HULU,1407,L,"6,172","11,953","27,063","6,548","3,438"
RIAU,BENGKALIS,1408,P,"4,811","11,693","25,960","8,506","5,356"
RIAU,BENGKALIS,1408,L,"5,301","12,449","28,423","8,001","4,411"
RIAU,ROKAN HILIR,1409,P,"10,012","22,803","49,848","13,145","6,068"
RIAU,ROKAN HILIR,1409,L,"10,835","24,768","53,094","13,803","5,664"
RIAU,KEPULAUAN MERANTI,1410,P,"3,934","9,260","22,626","7,395","3,869"
RIAU,KEPULAUAN MERANTI,1410,L,"4,148","9,905","25,243","7,781","3,961"
RIAU,KOTA PEKANBARU,1471,P,"6,401","14,206","26,632","7,007","3,061"
RIAU,KOTA PEKANBARU,1471,L,"6,867","15,397","26,799","7,718","2,810"
RIAU,KOTA DUMAI,1473,P,"3,136","7,403","15,351","4,633","2,290"
RIAU,KOTA DUMAI,1473,L,"3,414","8,113","16,615","4,619","2,179"
JAMBI,KERINCI,1501,P,"3,048","6,832","18,339","7,898","7,247"
JAMBI,KERINCI,1501,L,"3,270","7,510","19,504","6,908","5,354"
JAMBI,MERANGIN,1502,P,"3,660","7,867","19,477","6,382","3,544"
JAMBI,MERANGIN,1502,L,"3,863","8,656","20,986","5,832","3,087"
JAMBI,SAROLANGUN,1503,P,"4,071","8,276","19,093","6,090","3,775"
JAMBI,SAROLANGUN,1503,L,"4,344","9,164","20,342","5,810","3,021"
JAMBI,BATANG HARI,1504,P,"3,976","7,744","18,857","6,085","3,455"
JAMBI,BATANG HARI,1504,L,"4,347","8,346","20,552","5,713","2,911"
JAMBI,MUARO JAMBI,1505,P,"3,517","7,410","17,075","4,869","2,030"
JAMBI,MUARO JAMBI,1505,L,"3,594","7,914","18,323","5,048","2,015"
JAMBI,TANJUNG JABUNG TIMUR,1506,P,"2,729","5,832","14,620","4,650","3,316"
JAMBI,TANJUNG JABUNG TIMUR,1506,L,"2,879","5,921","15,536","4,640","3,243"
JAMBI,TANJUNG JABUNG BARAT,1507,P,"4,429","9,077","22,409","6,516","3,659"
JAMBI,TANJUNG JABUNG BARAT,1507,L,"4,959","9,844","24,899","6,936","3,423"
JAMBI,TEBO,1508,P,"3,433","6,609","17,091","5,617","4,107"
JAMBI,TEBO,1508,L,"3,665","7,324","18,727","4,890","3,072"
JAMBI,BUNGO,1509,P,"3,308","7,048","14,830","4,601","3,418"
JAMBI,BUNGO,1509,L,"3,494","7,649","16,187","4,227","2,379"
JAMBI,KOTA JAMBI,1571,P,"5,319","11,887","30,726","10,891","5,214"
JAMBI,KOTA JAMBI,1571,L,"5,601","12,951","32,978","11,197","4,832"
JAMBI,KOTA SUNGAI PENUH,1572,P,672,"1,714","4,358","1,717","1,512"
JAMBI,KOTA SUNGAI PENUH,1572,L,770,"1,966","4,659","1,450","1,158"
