Provinsi,NamaKab/Kota,KodeKab/Kota,Sumber air minum,Jumlah rumah tangga
SUMATERA BARAT,SIJUNJUNG,1304,Sumber Terlindung,"3,071"
SUMATERA BARAT,SIJUNJUNG,1304,Sumber Tidak Terlindung,"6,529"
SUMATERA BARAT,TANAH DATAR,1305,Air Kemasan,756
SUMATERA BARAT,TANAH DATAR,1305,Air Ledeng,"1,644"
SUMATERA BARAT,TANAH DATAR,1305,Sumber Terlindung,"11,529"
SUMATERA BARAT,TANAH DATAR,1305,Sumber Tidak Terlindung,"6,052"
SUMATERA BARAT,PADANG PARIAMAN,1306,Air Kemasan,"1,956"
SUMATERA BARAT,PADANG PARIAMAN,1306,Air Ledeng,"1,183"
SUMATERA BARAT,PADANG PARIAMAN,1306,Sumber Terlindung,"13,694"
SUMATERA BARAT,PADANG PARIAMAN,1306,Sumber Tidak Terlindung,"11,660"
SUMATERA BARAT,AGAM,1307,Air Kemasan,"1,320"
SUMATERA BARAT,AGAM,1307,Air Ledeng,681
SUMATERA BARAT,AGAM,1307,Sumber Terlindung,"11,087"
SUMATERA BARAT,AGAM,1307,Sumber Tidak Terlindung,"8,360"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Air Kemasan,"2,705"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Air Ledeng,912
SUMATERA BARAT,LIMA PULUH KOTA,1308,Sumber Terlindung,"12,211"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Sumber Tidak Terlindung,"16,321"
SUMATERA BARAT,PASAMAN,1309,Air Kemasan,621
SUMATERA BARAT,PASAMAN,1309,Air Ledeng,"2,470"
SUMATERA BARAT,PASAMAN,1309,Sumber Terlindung,"7,125"
SUMATERA BARAT,PASAMAN,1309,Sumber Tidak Terlindung,"15,270"
SUMATERA BARAT,SOLOK SELATAN,1310,Air Kemasan,186
SUMATERA BARAT,SOLOK SELATAN,1310,Air Ledeng,"1,765"
