Provinsi,NamaKab/Kota,KodeKab/Kota,Bahan bakar memasak,Jumlah rumah tangga
SUMATERA UTARA,NIAS BARAT,1225,Briket/Arang/Kayu,"13,726"
SUMATERA UTARA,NIAS BARAT,1225,Tidak memasak di rumah,14
SUMATERA UTARA,KOTA SIBOLGA,1271,Listrik/Gas,"2,970"
SUMATERA UTARA,KOTA SIBOLGA,1271,Minyak tanah,"1,498"
SUMATERA UTARA,KOTA SIBOLGA,1271,Briket/Arang/Kayu,909
SUMATERA UTARA,KOTA SIBOLGA,1271,Tidak memasak di rumah,31
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Listrik/Gas,"12,860"
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Minyak tanah,435
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Briket/Arang/Kayu,867
SUMATERA UTARA,KOTA TANJUNG BALAI,1272,Tidak memasak di rumah,138
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Listrik/Gas,"16,047"
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Minyak tanah,618
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Briket/Arang/Kayu,951
SUMATERA UTARA,KOTA PEMATANG SIANTAR,1273,Tidak memasak di rumah,146
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Listrik/Gas,"8,157"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Minyak tanah,870
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Briket/Arang/Kayu,"1,578"
SUMATERA UTARA,KOTA TEBING TINGGI,1274,Tidak memasak di rumah,109
SUMATERA UTARA,KOTA MEDAN,1275,Listrik/Gas,"91,773"
SUMATERA UTARA,KOTA MEDAN,1275,Minyak tanah,"15,179"
SUMATERA UTARA,KOTA MEDAN,1275,Briket/Arang/Kayu,"2,114"
SUMATERA UTARA,KOTA MEDAN,1275,Tidak memasak di rumah,"1,083"
SUMATERA UTARA,KOTA BINJAI,1276,Listrik/Gas,"12,646"
SUMATERA UTARA,KOTA BINJAI,1276,Minyak tanah,"1,499"
SUMATERA UTARA,KOTA BINJAI,1276,Briket/Arang/Kayu,"1,437"
SUMATERA UTARA,KOTA BINJAI,1276,Tidak memasak di rumah,277
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Listrik/Gas,"1,950"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Minyak tanah,"1,757"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Briket/Arang/Kayu,"6,657"
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,Tidak memasak di rumah,97
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Listrik/Gas,31
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Minyak tanah,"1,529"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Briket/Arang/Kayu,"12,462"
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,Tidak memasak di rumah,18
SUMATERA UTARA,TOTAL,"473,303",Listrik/Gas,"38,485"
SUMATERA UTARA,TOTAL,"473,303",Minyak tanah,"405,324"
SUMATERA UTARA,TOTAL,"473,303",Briket/Arang/Kayu,"5,329"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Listrik/Gas,2
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Minyak tanah,84
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Briket/Arang/Kayu,"7,958"
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,Tidak memasak di rumah,4
SUMATERA BARAT,PESISIR SELATAN,1302,Listrik/Gas,"4,173"
SUMATERA BARAT,PESISIR SELATAN,1302,Minyak tanah,"1,695"
SUMATERA BARAT,PESISIR SELATAN,1302,Briket/Arang/Kayu,"32,068"
SUMATERA BARAT,PESISIR SELATAN,1302,Tidak memasak di rumah,65
SUMATERA BARAT,SOLOK,1303,Listrik/Gas,"3,952"
SUMATERA BARAT,SOLOK,1303,Minyak tanah,"1,636"
SUMATERA BARAT,SOLOK,1303,Briket/Arang/Kayu,"24,379"
SUMATERA BARAT,SOLOK,1303,Tidak memasak di rumah,79
SUMATERA BARAT,SIJUNJUNG,1304,Listrik/Gas,"1,214"
SUMATERA BARAT,SIJUNJUNG,1304,Minyak tanah,375
SUMATERA BARAT,SIJUNJUNG,1304,Briket/Arang/Kayu,"10,366"
SUMATERA BARAT,SIJUNJUNG,1304,Tidak memasak di rumah,60
SUMATERA BARAT,TANAH DATAR,1305,Listrik/Gas,"3,014"
SUMATERA BARAT,TANAH DATAR,1305,Minyak tanah,"1,072"
SUMATERA BARAT,TANAH DATAR,1305,Briket/Arang/Kayu,"15,779"
SUMATERA BARAT,TANAH DATAR,1305,Tidak memasak di rumah,116
SUMATERA BARAT,PADANG PARIAMAN,1306,Listrik/Gas,"3,926"
SUMATERA BARAT,PADANG PARIAMAN,1306,Minyak tanah,331
SUMATERA BARAT,PADANG PARIAMAN,1306,Briket/Arang/Kayu,"24,084"
SUMATERA BARAT,PADANG PARIAMAN,1306,Tidak memasak di rumah,152
SUMATERA BARAT,AGAM,1307,Listrik/Gas,"4,515"
SUMATERA BARAT,AGAM,1307,Minyak tanah,472
SUMATERA BARAT,AGAM,1307,Briket/Arang/Kayu,"16,340"
SUMATERA BARAT,AGAM,1307,Tidak memasak di rumah,121
SUMATERA BARAT,LIMA PULUH KOTA,1308,Listrik/Gas,"5,941"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Minyak tanah,494
SUMATERA BARAT,LIMA PULUH KOTA,1308,Briket/Arang/Kayu,"25,393"
SUMATERA BARAT,LIMA PULUH KOTA,1308,Tidak memasak di rumah,321
SUMATERA BARAT,PASAMAN,1309,Listrik/Gas,"1,080"
SUMATERA BARAT,PASAMAN,1309,Minyak tanah,158
