Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,SD/SDLB/Paket A,M. Ibtidaiyah,SMP/SMPLB/Paket B,M. Tsanawiyah,SMA/SMK/SMALB/Paket C,M. Aliyah,Perguruan Tinggi
SUMATERA UTARA,KOTA MEDAN,1275,L,"34,841",69,"17,238",80,"10,638",17,614
SUMATERA UTARA,KOTA BINJAI,1276,P,"3,892",18,"1,892",12,"1,361",6,154
SUMATERA UTARA,KOTA BINJAI,1276,L,"4,312",12,"2,055",19,"1,239",4,91
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,P,"3,708",8,"1,755",49,"1,460",16,254
SUMATERA UTARA,KOTA PADANGSIDIMPUAN,1277,L,"3,907",13,"1,788",47,"1,307",9,145
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,P,"5,965",79,"2,380",37,"1,252",30,163
SUMATERA UTARA,KOTA GUNUNGSITOLI,1278,L,"6,552",81,"2,535",29,"1,450",25,222
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,P,"3,896",6,919,11,390,1,29
SUMATERA BARAT,KEPULAUAN MENTAWAI,1301,L,"4,345",9,930,9,402,0,48
SUMATERA BARAT,PESISIR SELATAN,1302,P,"12,926",111,"5,689",782,"4,479",180,438
SUMATERA BARAT,PESISIR SELATAN,1302,L,"14,533",133,"5,986",769,"4,113",110,239
SUMATERA BARAT,SOLOK,1303,P,"10,811",128,"4,051",749,"2,787",223,466
SUMATERA BARAT,SOLOK,1303,L,"11,663",97,"3,814",622,"2,242",117,231
SUMATERA BARAT,SIJUNJUNG,1304,P,"4,328",13,"1,398",204,522,18,33
SUMATERA BARAT,SIJUNJUNG,1304,L,"4,598",9,"1,182",176,382,20,29
SUMATERA BARAT,TANAH DATAR,1305,P,"6,766",31,"2,361",779,"1,743",233,312
SUMATERA BARAT,TANAH DATAR,1305,L,"7,636",44,"2,362",671,"1,330",136,142
SUMATERA BARAT,PADANG PARIAMAN,1306,P,"10,243",42,"4,477",477,"2,884",83,320
SUMATERA BARAT,PADANG PARIAMAN,1306,L,"11,412",42,"4,596",440,"2,290",45,141
SUMATERA BARAT,AGAM,1307,P,"7,802",27,"2,716",781,"1,558",131,157
SUMATERA BARAT,AGAM,1307,L,"8,847",32,"2,841",589,"1,234",69,61
SUMATERA BARAT,LIMA PULUH KOTA,1308,P,"8,862",35,"3,356",607,"2,108",91,308
SUMATERA BARAT,LIMA PULUH KOTA,1308,L,"10,101",31,"3,199",499,"1,710",55,131
SUMATERA BARAT,PASAMAN,1309,P,"9,722",56,"3,197",542,"1,905",123,137
SUMATERA BARAT,PASAMAN,1309,L,"10,237",48,"3,052",485,"1,495",107,77
