Provinsi,NamaKab/Kota,KodeKab/Kota,Jenis kelamin,SD/SDLB/Paket A,M. Ibtidaiyah,SMP/SMPLB/Paket B,M. Tsanawiyah,SMA/SMK/SMALB/Paket C,M. Aliyah,Perguruan Tinggi
NUSA TENGGARA BARAT,KOTA MATARAM,5271,L,"8,457",201,"3,757",243,"2,631",93,359
NUSA TENGGARA BARAT,KOTA BIMA,5272,P,"3,638",79,"1,778",120,"1,470",51,414
NUSA TENGGARA BARAT,KOTA BIMA,5272,L,"4,111",77,"1,852",99,"1,512",36,282
NUSA TENGGARA TIMUR,SUMBA BARAT,5301,P,"8,171",4,"3,404",1,"1,824",1,107
NUSA TENGGARA TIMUR,SUMBA BARAT,5301,L,"9,368",8,"3,293",1,"1,671",0,102
NUSA TENGGARA TIMUR,SUMBA TIMUR,5302,P,"11,673",20,"3,816",8,"2,049",3,172
NUSA TENGGARA TIMUR,SUMBA TIMUR,5302,L,"13,353",19,"3,792",9,"2,039",3,146
NUSA TENGGARA TIMUR,KUPANG,5303,P,"15,585",22,"6,487",11,"3,524",1,666
NUSA TENGGARA TIMUR,KUPANG,5303,L,"17,129",26,"6,182",4,"3,313",1,472
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,5304,P,"28,545",97,"9,988",43,"4,225",2,528
NUSA TENGGARA TIMUR,TIMOR TENGAH SELATAN,5304,L,"30,628",119,"9,538",18,"3,918",2,289
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,5305,P,"11,454",3,"4,324",4,"2,099",0,313
NUSA TENGGARA TIMUR,TIMOR TENGAH UTARA,5305,L,"12,193",10,"4,135",3,"1,770",0,238
NUSA TENGGARA TIMUR,BELU,5306,P,"8,341",7,"3,163",4,"1,784",0,178
NUSA TENGGARA TIMUR,BELU,5306,L,"8,915",12,"2,899",0,"1,364",0,92
NUSA TENGGARA TIMUR,ALOR,5307,P,"9,267",620,"3,460",166,"1,915",85,169
NUSA TENGGARA TIMUR,ALOR,5307,L,"10,220",650,"3,699",147,"2,032",70,166
NUSA TENGGARA TIMUR,LEMBATA,5308,P,"5,036",373,"1,759",227,672,101,79
NUSA TENGGARA TIMUR,LEMBATA,5308,L,"5,700",396,"1,749",204,630,104,57
NUSA TENGGARA TIMUR,FLORES TIMUR,5309,P,"8,792",298,"3,139",307,"1,618",85,103
NUSA TENGGARA TIMUR,FLORES TIMUR,5309,L,"9,749",296,"3,194",263,"1,467",72,70
NUSA TENGGARA TIMUR,SIKKA,5310,P,"11,929",208,"4,452",147,"2,457",18,401
NUSA TENGGARA TIMUR,SIKKA,5310,L,"13,407",193,"4,174",140,"2,068",17,225
NUSA TENGGARA TIMUR,ENDE,5311,P,"10,225",92,"3,498",121,"1,466",81,142
NUSA TENGGARA TIMUR,ENDE,5311,L,"11,454",115,"3,659",143,"1,433",77,130
NUSA TENGGARA TIMUR,NGADA,5312,P,"4,864",46,"2,015",39,"1,094",10,195
NUSA TENGGARA TIMUR,NGADA,5312,L,"5,433",58,"1,895",36,949,16,94
NUSA TENGGARA TIMUR,MANGGARAI,5313,P,"17,818",62,"6,794",46,"2,827",21,193
NUSA TENGGARA TIMUR,MANGGARAI,5313,L,"19,160",66,"6,647",42,"2,604",26,186
NUSA TENGGARA TIMUR,ROTE NDAO,5314,P,"6,824",23,"2,410",2,"1,412",1,211
NUSA TENGGARA TIMUR,ROTE NDAO,5314,L,"7,399",24,"2,263",5,"1,345",1,187
NUSA TENGGARA TIMUR,MANGGARAI BARAT,5315,P,"15,883",461,"4,999",210,"2,068",82,107
NUSA TENGGARA TIMUR,MANGGARAI BARAT,5315,L,"17,046",458,"5,007",172,"1,960",63,101
NUSA TENGGARA TIMUR,SUMBA TENGAH,5316,P,"4,836",2,"1,797",0,860,0,77
NUSA TENGGARA TIMUR,SUMBA TENGAH,5316,L,"5,566",5,"1,807",1,843,0,46
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,5317,P,"27,155",20,"9,316",6,"4,876",0,420
NUSA TENGGARA TIMUR,SUMBA BARAT DAYA,5317,L,"30,199",24,"8,952",3,"4,386",0,368
NUSA TENGGARA TIMUR,NAGEKEO,5318,P,"4,863",6,"1,957",9,769,6,91
NUSA TENGGARA TIMUR,NAGEKEO,5318,L,"5,384",3,"2,001",16,768,4,65
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,5319,P,"16,724",169,"6,444",125,"2,894",26,166
NUSA TENGGARA TIMUR,MANGGARAI TIMUR,5319,L,"18,043",159,"6,752",135,"3,005",28,150
NUSA TENGGARA TIMUR,SABU RAIJUA,5320,P,"5,467",5,"2,173",6,"1,523",0,143
NUSA TENGGARA TIMUR,SABU RAIJUA,5320,L,"6,057",8,"2,014",4,"1,322",0,104
NUSA TENGGARA TIMUR,MALAKA,5321,P,"9,603",8,"3,673",2,"2,140",0,318
NUSA TENGGARA TIMUR,MALAKA,5321,L,"10,557",4,"3,274",5,"1,599",1,165
NUSA TENGGARA TIMUR,KOTA KUPANG,5371,P,"7,482",4,"3,270",8,"2,294",3,934
NUSA TENGGARA TIMUR,KOTA KUPANG,5371,L,"8,162",6,"3,534",9,"2,125",2,777
KALIMANTAN BARAT,SAMBAS,6101,P,"10,534",243,"3,687",227,"1,731",38,181
KALIMANTAN BARAT,SAMBAS,6101,L,"11,300",277,"3,318",169,"1,322",24,143
KALIMANTAN BARAT,BENGKAYANG,6102,P,"6,745",8,"2,534",39,"1,135",16,92
KALIMANTAN BARAT,BENGKAYANG,6102,L,"7,157",5,"2,346",52,989,21,56
KALIMANTAN BARAT,LANDAK,6103,P,"13,884",99,"6,349",102,"3,075",17,251
KALIMANTAN BARAT,LANDAK,6103,L,"15,384",101,"6,544",85,"2,902",24,234
KALIMANTAN BARAT,MEMPAWAH,6104,P,"6,628",548,"2,757",501,"1,320",196,172
KALIMANTAN BARAT,MEMPAWAH,6104,L,"7,195",679,"2,556",522,"1,301",207,144
KALIMANTAN BARAT,SANGGAU,6105,P,"7,314",19,"2,832",27,"1,305",11,104
KALIMANTAN BARAT,SANGGAU,6105,L,"8,134",18,"2,830",25,"1,290",6,104
KALIMANTAN BARAT,KETAPANG,6106,P,"8,117",15,"3,118",52,"1,390",27,147
KALIMANTAN BARAT,KETAPANG,6106,L,"9,106",25,"3,133",59,"1,343",36,165
KALIMANTAN BARAT,SINTANG,6107,P,"10,638",34,"3,399",33,"1,268",4,191
KALIMANTAN BARAT,SINTANG,6107,L,"11,826",34,"3,403",37,"1,164",3,226
KALIMANTAN BARAT,KAPUAS HULU,6108,P,"6,816",55,"2,515",93,"1,364",44,244
KALIMANTAN BARAT,KAPUAS HULU,6108,L,"7,508",62,"2,609",86,"1,203",42,211
KALIMANTAN BARAT,SEKADAU,6109,P,"3,440",19,"1,339",14,533,1,23
KALIMANTAN BARAT,SEKADAU,6109,L,"3,752",12,"1,372",19,505,3,29
KALIMANTAN BARAT,MELAWI,6110,P,"3,975",20,"1,394",50,537,27,50
KALIMANTAN BARAT,MELAWI,6110,L,"4,250",14,"1,363",31,471,19,58
KALIMANTAN BARAT,KAYONG UTARA,6111,P,"3,140",52,"1,169",66,703,11,32
KALIMANTAN BARAT,KAYONG UTARA,6111,L,"3,148",65,"1,067",62,660,13,48
KALIMANTAN BARAT,KUBU RAYA,6112,P,"11,869","1,898","4,941","1,257","2,384",594,246
KALIMANTAN BARAT,KUBU RAYA,6112,L,"12,893","1,986","4,701","1,244","2,210",638,234
KALIMANTAN BARAT,KOTA PONTIANAK,6171,P,"5,457",44,"2,803",38,"1,975",14,444
KALIMANTAN BARAT,KOTA PONTIANAK,6171,L,"6,045",55,"2,786",35,"1,821",15,340
KALIMANTAN BARAT,KOTA SINGKAWANG,6172,P,"4,183",54,"1,623",27,833,7,86
KALIMANTAN BARAT,KOTA SINGKAWANG,6172,L,"4,766",55,"1,431",23,753,8,56
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,6201,P,"1,618",49,675,98,426,11,69
KALIMANTAN TENGAH,KOTAWARINGIN BARAT,6201,L,"1,865",53,682,70,456,7,63
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,6202,P,"6,357",129,"2,521",104,"1,190",49,117
KALIMANTAN TENGAH,KOTAWARINGIN TIMUR,6202,L,"6,842",148,"2,620",105,"1,278",33,103
KALIMANTAN TENGAH,KAPUAS,6203,P,"6,441","1,168","2,071",857,"1,056",350,100
KALIMANTAN TENGAH,KAPUAS,6203,L,"7,181","1,271","2,148",767,"1,085",338,65
KALIMANTAN TENGAH,BARITO SELATAN,6204,P,"1,509",56,620,89,275,32,21
KALIMANTAN TENGAH,BARITO SELATAN,6204,L,"1,796",63,648,81,328,33,17
KALIMANTAN TENGAH,BARITO UTARA,6205,P,"1,402",31,486,16,262,6,16
KALIMANTAN TENGAH,BARITO UTARA,6205,L,"1,538",39,508,11,290,7,20
KALIMANTAN TENGAH,SUKAMARA,6206,P,463,3,189,35,118,5,6
KALIMANTAN TENGAH,SUKAMARA,6206,L,529,7,183,30,117,9,6
KALIMANTAN TENGAH,LAMANDAU,6207,P,634,3,279,1,102,0,4
KALIMANTAN TENGAH,LAMANDAU,6207,L,671,1,280,0,141,0,1
KALIMANTAN TENGAH,SERUYAN,6208,P,"1,301",6,552,5,258,4,45
KALIMANTAN TENGAH,SERUYAN,6208,L,"1,337",5,537,13,301,1,45
KALIMANTAN TENGAH,KATINGAN,6209,P,"1,932",7,837,24,413,11,14
KALIMANTAN TENGAH,KATINGAN,6209,L,"2,075",14,909,18,407,8,9
KALIMANTAN TENGAH,PULANG PISAU,6210,P,"2,282",250,"1,004",139,546,63,70
KALIMANTAN TENGAH,PULANG PISAU,6210,L,"2,604",251,931,112,517,64,50
KALIMANTAN TENGAH,GUNUNG MAS,6211,P,701,0,218,0,44,0,1
KALIMANTAN TENGAH,GUNUNG MAS,6211,L,756,0,261,0,41,0,1
KALIMANTAN TENGAH,BARITO TIMUR,6212,P,994,22,409,61,229,22,14
KALIMANTAN TENGAH,BARITO TIMUR,6212,L,"1,076",21,419,63,247,30,8
KALIMANTAN TENGAH,MURUNG RAYA,6213,P,"2,385",19,720,71,154,9,4
KALIMANTAN TENGAH,MURUNG RAYA,6213,L,"2,612",31,684,41,137,2,4
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,6271,P,"2,194",98,"1,005",124,599,41,162
KALIMANTAN TENGAH,KOTA PALANGKA RAYA,6271,L,"2,468",138,"1,089",105,658,26,139
KALIMANTAN SELATAN,TANAH LAUT,6301,P,"3,684",174,"1,071",424,323,94,24
KALIMANTAN SELATAN,TANAH LAUT,6301,L,"4,145",171,"1,163",374,360,78,13
KALIMANTAN SELATAN,KOTA BARU,6302,P,"3,999",29,"1,144",273,575,34,46
KALIMANTAN SELATAN,KOTA BARU,6302,L,"4,461",36,"1,196",234,647,65,33
KALIMANTAN SELATAN,BANJAR,6303,P,"4,293","1,185","1,164","1,018",443,349,78
KALIMANTAN SELATAN,BANJAR,6303,L,"4,777","1,206","1,227",952,444,297,59
KALIMANTAN SELATAN,BARITO KUALA,6304,P,"4,204",501,"1,368",692,513,338,60
KALIMANTAN SELATAN,BARITO KUALA,6304,L,"4,804",595,"1,384",720,620,274,47
KALIMANTAN SELATAN,TAPIN,6305,P,"1,414",46,329,153,103,45,11
KALIMANTAN SELATAN,TAPIN,6305,L,"1,663",51,358,146,135,45,7
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,6306,P,"3,279",386,885,835,502,384,112
KALIMANTAN SELATAN,HULU SUNGAI SELATAN,6306,L,"3,680",406,851,677,558,215,63
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,6307,P,"3,907",323,"1,084",891,754,315,83
KALIMANTAN SELATAN,HULU SUNGAI TENGAH,6307,L,"4,424",363,"1,235",738,932,260,72
KALIMANTAN SELATAN,HULU SUNGAI UTARA,6308,P,"3,371","1,391",968,"1,156",724,502,405
KALIMANTAN SELATAN,HULU SUNGAI UTARA,6308,L,"3,803","1,533","1,052","1,120",720,378,232
KALIMANTAN SELATAN,TABALONG,6309,P,"2,891",294,907,508,746,176,186
KALIMANTAN SELATAN,TABALONG,6309,L,"3,268",325,"1,022",529,789,153,88
KALIMANTAN SELATAN,TANAH BUMBU,6310,P,"3,547",51,"1,272",240,769,71,62
KALIMANTAN SELATAN,TANAH BUMBU,6310,L,"3,796",54,"1,308",218,774,56,53
KALIMANTAN SELATAN,BALANGAN,6311,P,"1,759",129,424,343,208,121,27
KALIMANTAN SELATAN,BALANGAN,6311,L,"1,907",140,471,306,234,105,16
KALIMANTAN SELATAN,KOTA BANJARMASIN,6371,P,"6,758",315,"3,284",443,"2,173",181,501
KALIMANTAN SELATAN,KOTA BANJARMASIN,6371,L,"7,880",322,"3,450",464,"2,372",166,421
KALIMANTAN SELATAN,KOTA BANJAR BARU,6372,P,"2,000",230,905,253,541,120,117
KALIMANTAN SELATAN,KOTA BANJAR BARU,6372,L,"2,252",259,874,241,587,79,70
KALIMANTAN TIMUR,PASER,6401,P,"4,625",158,"1,700",121,922,64,196
KALIMANTAN TIMUR,PASER,6401,L,"5,150",157,"1,895",144,"1,056",59,109
KALIMANTAN TIMUR,KUTAI BARAT,6402,P,"2,386",11,"1,148",6,653,2,58
KALIMANTAN TIMUR,KUTAI BARAT,6402,L,"2,743",6,"1,220",9,710,2,43
KALIMANTAN TIMUR,KUTAI KARTANEGARA,6403,P,"7,209",48,"3,302",181,"1,936",65,295
KALIMANTAN TIMUR,KUTAI KARTANEGARA,6403,L,"8,101",75,"3,441",222,"2,127",74,183
KALIMANTAN TIMUR,KUTAI TIMUR,6404,P,"5,419",3,"2,205",60,"1,319",2,198
KALIMANTAN TIMUR,KUTAI TIMUR,6404,L,"5,841",12,"2,435",61,"1,375",5,201
KALIMANTAN TIMUR,BERAU,6405,P,"1,939",14,797,41,402,6,53
KALIMANTAN TIMUR,BERAU,6405,L,"2,152",14,926,30,380,4,55
KALIMANTAN TIMUR,PENAJAM PASER UTARA,6409,P,"2,994",3,"1,314",66,829,28,74
KALIMANTAN TIMUR,PENAJAM PASER UTARA,6409,L,"3,359",10,"1,326",79,840,20,42
KALIMANTAN TIMUR,MAHAKAM HULU,6411,P,580,1,207,0,142,0,18
KALIMANTAN TIMUR,MAHAKAM HULU,6411,L,651,1,226,0,119,0,17
KALIMANTAN TIMUR,KOTA BALIKPAPAN,6471,P,"5,792",44,"3,101",49,"2,118",29,356
KALIMANTAN TIMUR,KOTA BALIKPAPAN,6471,L,"6,249",47,"3,299",65,"2,304",30,275
KALIMANTAN TIMUR,KOTA SAMARINDA,6472,P,"5,991",29,"3,173",108,"2,054",29,642
KALIMANTAN TIMUR,KOTA SAMARINDA,6472,L,"6,640",33,"3,204",106,"2,182",23,562
KALIMANTAN TIMUR,KOTA BONTANG,6474,P,"2,225",10,"1,048",8,782,3,78
KALIMANTAN TIMUR,KOTA BONTANG,6474,L,"2,436",4,"1,211",9,839,3,70
KALIMANTAN UTARA,MALINAU,6501,P,"1,459",2,590,5,405,0,31
KALIMANTAN UTARA,MALINAU,6501,L,"1,553",0,590,2,339,0,46
KALIMANTAN UTARA,BULUNGAN,6502,P,"1,350",4,612,4,239,3,32
KALIMANTAN UTARA,BULUNGAN,6502,L,"1,608",3,605,6,248,4,29
KALIMANTAN UTARA,TANA TIDUNG,6503,P,238,0,91,0,37,0,3
KALIMANTAN UTARA,TANA TIDUNG,6503,L,228,0,94,0,34,0,5
KALIMANTAN UTARA,NUNUKAN,6504,P,"4,450",19,"1,930",15,"1,220",29,77
KALIMANTAN UTARA,NUNUKAN,6504,L,"4,770",17,"2,015",30,"1,242",23,86
KALIMANTAN UTARA,KOTA TARAKAN,6571,P,"3,069",5,"1,457",4,"1,001",2,382
KALIMANTAN UTARA,KOTA TARAKAN,6571,L,"3,533",2,"1,486",6,937,3,301
SULAWESI UTARA,BOLAANG MONGONDOW,7101,P,"6,830",41,"2,981",120,"1,674",52,182
SULAWESI UTARA,BOLAANG MONGONDOW,7101,L,"7,960",35,"2,963",113,"1,429",40,93
SULAWESI UTARA,MINAHASA,7102,P,"5,235",2,"2,855",2,"2,072",1,314
SULAWESI UTARA,MINAHASA,7102,L,"6,179",7,"3,116",3,"2,166",1,260
SULAWESI UTARA,KEPULAUAN SANGIHE,7103,P,"2,240",15,"1,054",20,664,27,124
SULAWESI UTARA,KEPULAUAN SANGIHE,7103,L,"2,601",24,"1,040",25,522,12,49
SULAWESI UTARA,KEPULAUAN TALAUD,7104,P,"2,152",1,"1,121",1,747,0,99
SULAWESI UTARA,KEPULAUAN TALAUD,7104,L,"2,514",1,"1,207",0,870,0,61
SULAWESI UTARA,MINAHASA SELATAN,7105,P,"5,988",16,"3,234",17,"2,271",6,232
SULAWESI UTARA,MINAHASA SELATAN,7105,L,"6,732",15,"3,385",11,"2,287",6,153
SULAWESI UTARA,MINAHASA UTARA,7106,P,"4,263",25,"2,161",43,"1,368",17,313
SULAWESI UTARA,MINAHASA UTARA,7106,L,"4,722",31,"2,030",47,"1,344",19,174
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,7107,P,"2,038",92,853,132,530,82,64
SULAWESI UTARA,BOLAANG MONGONDOW UTARA,7107,L,"2,335",70,806,107,423,66,37
SULAWESI UTARA,SIAU TAGULANDANG BIARO,7108,P,639,0,320,0,184,0,15
SULAWESI UTARA,SIAU TAGULANDANG BIARO,7108,L,734,0,329,0,187,0,9
SULAWESI UTARA,MINAHASA TENGGARA,7109,P,"2,527",7,"1,205",6,732,6,49
SULAWESI UTARA,MINAHASA TENGGARA,7109,L,"2,773",3,"1,218",7,612,9,23
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,7110,P,"2,137",46,692,108,275,30,33
SULAWESI UTARA,BOLAANG MONGONDOW SELATAN,7110,L,"2,260",53,670,93,237,24,26
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,7111,P,"1,359",3,607,70,299,0,21
SULAWESI UTARA,BOLAANG MONGONDOW TIMUR,7111,L,"1,533",9,572,53,227,0,8
SULAWESI UTARA,KOTA MANADO,7171,P,"4,749",10,"2,572",3,"1,772",1,331
SULAWESI UTARA,KOTA MANADO,7171,L,"5,173",3,"2,552",2,"1,672",0,228
SULAWESI UTARA,KOTA BITUNG,7172,P,"3,537",11,"1,598",4,979,1,168
SULAWESI UTARA,KOTA BITUNG,7172,L,"3,741",12,"1,664",5,915,1,62
SULAWESI UTARA,KOTA TOMOHON,7173,P,"1,533",4,938,1,679,1,198
SULAWESI UTARA,KOTA TOMOHON,7173,L,"1,834",5,990,0,697,0,133
SULAWESI UTARA,KOTAMOBAGU,7174,P,"2,022",5,"1,022",12,711,2,112
SULAWESI UTARA,KOTAMOBAGU,7174,L,"2,259",5,984,18,674,0,54
SULAWESI TENGAH,BANGGAI KEPULAUAN,7201,P,"3,349",29,"1,392",158,775,39,68
SULAWESI TENGAH,BANGGAI KEPULAUAN,7201,L,"3,476",28,"1,280",143,785,34,52
SULAWESI TENGAH,BANGGAI,7202,P,"8,631",153,"3,365",289,"1,912",106,225
SULAWESI TENGAH,BANGGAI,7202,L,"9,573",198,"3,380",308,"1,737",108,181
SULAWESI TENGAH,MOROWALI,7203,P,"2,587",40,"1,022",70,706,17,101
SULAWESI TENGAH,MOROWALI,7203,L,"2,841",43,"1,062",66,692,26,89
SULAWESI TENGAH,POSO,7204,P,"6,246",19,"2,959",93,"1,868",41,500
SULAWESI TENGAH,POSO,7204,L,"6,843",14,"3,125",71,"1,741",30,318
SULAWESI TENGAH,DONGGALA,7205,P,"11,412",122,"3,699",291,"2,000",134,177
SULAWESI TENGAH,DONGGALA,7205,L,"12,481",129,"3,454",226,"1,692",95,137
SULAWESI TENGAH,TOLI-TOLI,7206,P,"6,358",42,"2,092",350,856,113,160
SULAWESI TENGAH,TOLI-TOLI,7206,L,"6,745",28,"1,920",272,672,75,103
SULAWESI TENGAH,BUOL,7207,P,"5,214",29,"2,070",228,"1,056",85,105
SULAWESI TENGAH,BUOL,7207,L,"5,704",27,"1,997",193,983,77,75
SULAWESI TENGAH,PARIGI MOUTONG,7208,P,"13,491",256,"3,853","1,014","2,248",445,287
SULAWESI TENGAH,PARIGI MOUTONG,7208,L,"14,645",299,"3,640",938,"2,002",403,207
SULAWESI TENGAH,TOJO UNA-UNA,7209,P,"5,318",36,"1,683",172,720,75,52
SULAWESI TENGAH,TOJO UNA-UNA,7209,L,"5,781",32,"1,565",154,673,84,23
SULAWESI TENGAH,SIGI,7210,P,"6,758",20,"2,223",145,"1,149",48,148
SULAWESI TENGAH,SIGI,7210,L,"7,603",13,"2,041",132,994,46,84
SULAWESI TENGAH,BANGGAI LAUT,7211,P,"1,300",5,441,76,228,36,32
SULAWESI TENGAH,BANGGAI LAUT,7211,L,"1,356",4,412,72,193,47,22
SULAWESI TENGAH,MOROWALI UTARA,7212,P,"2,618",21,"1,108",47,596,10,87
SULAWESI TENGAH,MOROWALI UTARA,7212,L,"2,932",28,"1,102",48,590,3,50
SULAWESI TENGAH,KOTA PALU,7271,P,"4,232",49,"1,825",75,997,16,202
SULAWESI TENGAH,KOTA PALU,7271,L,"4,616",41,"1,753",73,902,18,141
SULAWESI SELATAN,KEPULAUAN SELAYAR,7301,P,"3,668",10,"1,316",46,805,10,264
SULAWESI SELATAN,KEPULAUAN SELAYAR,7301,L,"3,764",6,"1,262",37,683,3,153
SULAWESI SELATAN,BULUKUMBA,7302,P,"7,499",110,"2,949",490,"1,689",132,367
SULAWESI SELATAN,BULUKUMBA,7302,L,"7,812",87,"2,810",409,"1,479",90,190
SULAWESI SELATAN,BANTAENG,7303,P,"3,776",28,"1,183",263,588,130,55
SULAWESI SELATAN,BANTAENG,7303,L,"3,753",21,"1,019",230,412,83,23
SULAWESI SELATAN,JENEPONTO,7304,P,"11,645",152,"5,175",686,"2,808",244,446
SULAWESI SELATAN,JENEPONTO,7304,L,"12,113",124,"5,000",644,"2,493",231,240
SULAWESI SELATAN,TAKALAR,7305,P,"8,452",94,"3,767",282,"2,451",89,490
SULAWESI SELATAN,TAKALAR,7305,L,"8,982",112,"3,556",247,"2,341",64,220
SULAWESI SELATAN,GOWA,7306,P,"16,291",571,"7,747",637,"4,538",370,801
SULAWESI SELATAN,GOWA,7306,L,"17,241",645,"7,710",618,"4,263",318,411
SULAWESI SELATAN,SINJAI,7307,P,"5,215",170,"2,142",426,"1,346",213,257
SULAWESI SELATAN,SINJAI,7307,L,"5,811",192,"2,083",434,"1,116",200,152
SULAWESI SELATAN,MAROS,7308,P,"8,100",35,"3,540",247,"1,853",129,321
SULAWESI SELATAN,MAROS,7308,L,"8,629",32,"3,686",245,"1,968",150,214
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,7309,P,"9,050",84,"3,672",205,"1,970",129,246
SULAWESI SELATAN,PANGKAJENE DAN KEPULAUAN,7309,L,"9,347",94,"3,564",214,"1,910",126,128
SULAWESI SELATAN,BARRU,7310,P,"3,637",22,"1,757",87,"1,037",56,281
SULAWESI SELATAN,BARRU,7310,L,"3,898",27,"1,854",83,918,48,134
SULAWESI SELATAN,BONE,7311,P,"17,783",654,"7,131","1,157","3,938",539,"1,113"
SULAWESI SELATAN,BONE,7311,L,"19,160",757,"6,965","1,027","3,566",427,601
SULAWESI SELATAN,SOPPENG,7312,P,"3,938",60,"1,738",186,"1,163",79,236
SULAWESI SELATAN,SOPPENG,7312,L,"4,194",68,"1,655",154,"1,019",67,114
SULAWESI SELATAN,WAJO,7313,P,"6,055",106,"2,000",201,583,41,28
SULAWESI SELATAN,WAJO,7313,L,"6,798",129,"1,976",217,564,52,27
SULAWESI SELATAN,SIDENRENG RAPPANG,7314,P,"4,966",38,"2,115",165,"1,022",76,233
SULAWESI SELATAN,SIDENRENG RAPPANG,7314,L,"5,364",30,"2,023",179,961,68,149
SULAWESI SELATAN,PINRANG,7315,P,"5,960",178,"2,708",194,"1,360",33,235
SULAWESI SELATAN,PINRANG,7315,L,"6,472",201,"2,595",169,"1,218",28,116
SULAWESI SELATAN,ENREKANG,7316,P,"6,584",137,"2,793",323,"1,706",65,310
SULAWESI SELATAN,ENREKANG,7316,L,"7,200",148,"2,841",312,"1,563",47,203
SULAWESI SELATAN,LUWU,7317,P,"10,824",367,"5,206",364,"2,958",80,517
SULAWESI SELATAN,LUWU,7317,L,"12,062",404,"5,378",353,"2,962",70,182
SULAWESI SELATAN,TANA TORAJA,7318,P,"8,709",102,"4,082",48,"1,985",8,504
SULAWESI SELATAN,TANA TORAJA,7318,L,"10,030",95,"4,312",42,"1,833",8,235
SULAWESI SELATAN,LUWU UTARA,7322,P,"9,070",71,"4,470",205,"2,687",97,256
SULAWESI SELATAN,LUWU UTARA,7322,L,"9,889",83,"4,502",213,"2,477",80,108
SULAWESI SELATAN,LUWU TIMUR,7325,P,"5,317",128,"2,510",171,"1,556",29,111
SULAWESI SELATAN,LUWU TIMUR,7325,L,"5,891",149,"2,458",138,"1,360",24,59
SULAWESI SELATAN,TORAJA UTARA,7326,P,"9,301",5,"4,539",6,"2,578",0,602
SULAWESI SELATAN,TORAJA UTARA,7326,L,"10,484",10,"4,515",3,"2,673",1,406
SULAWESI SELATAN,KOTA MAKASSAR,7371,P,"17,354",71,"7,519",70,"2,879",24,259
SULAWESI SELATAN,KOTA MAKASSAR,7371,L,"18,732",60,"7,645",70,"2,675",24,202
SULAWESI SELATAN,KOTA PAREPARE,7372,P,"2,095",4,"1,077",2,709,6,121
SULAWESI SELATAN,KOTA PAREPARE,7372,L,"2,422",16,"1,080",5,610,2,74
SULAWESI SELATAN,KOTA PALOPO,7373,P,"2,832",4,"1,424",3,995,1,139
SULAWESI SELATAN,KOTA PALOPO,7373,L,"2,940",3,"1,373",6,938,1,69
SULAWESI TENGGARA,BUTON,7401,P,"4,074",122,"1,570",168,980,60,106
SULAWESI TENGGARA,BUTON,7401,L,"4,277",118,"1,610",125,903,69,92
SULAWESI TENGGARA,MUNA,7402,P,"8,396",79,"3,637",178,"2,570",32,401
SULAWESI TENGGARA,MUNA,7402,L,"9,051",95,"3,727",185,"2,740",25,274
SULAWESI TENGGARA,KONAWE,7403,P,"6,947",93,"2,640",244,"1,228",117,257
SULAWESI TENGGARA,KONAWE,7403,L,"7,521",111,"2,628",244,"1,120",78,208
SULAWESI TENGGARA,KOLAKA,7404,P,"4,839",37,"1,718",172,690,73,70
SULAWESI TENGGARA,KOLAKA,7404,L,"5,100",27,"1,781",184,712,40,32
SULAWESI TENGGARA,KONAWE SELATAN,7405,P,"8,181",134,"3,148",206,"1,268",100,70
SULAWESI TENGGARA,KONAWE SELATAN,7405,L,"8,503",153,"3,062",166,"1,071",66,48
SULAWESI TENGGARA,BOMBANA,7406,P,"5,038",73,"1,802",256,"1,087",56,166
SULAWESI TENGGARA,BOMBANA,7406,L,"5,241",88,"1,644",197,931,48,100
SULAWESI TENGGARA,WAKATOBI,7407,P,"2,602",74,"1,158",175,929,86,147
SULAWESI TENGGARA,WAKATOBI,7407,L,"2,798",49,"1,120",159,865,75,105
SULAWESI TENGGARA,KOLAKA UTARA,7408,P,"4,548",60,"1,807",406,"1,263",94,349
SULAWESI TENGGARA,KOLAKA UTARA,7408,L,"4,947",68,"1,878",336,"1,219",129,222
SULAWESI TENGGARA,BUTON UTARA,7409,P,"2,423",13,"1,068",23,608,19,40
SULAWESI TENGGARA,BUTON UTARA,7409,L,"2,656",14,"1,137",20,557,16,35
SULAWESI TENGGARA,KONAWE UTARA,7410,P,"2,065",3,949,50,570,6,52
SULAWESI TENGGARA,KONAWE UTARA,7410,L,"2,408",1,896,48,616,7,54
SULAWESI TENGGARA,KOLAKA TIMUR,7411,P,"2,968",12,"1,158",92,565,10,57
